episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
53,-9.967725,0.109950,0.014451,0.988879,1728,0.006974,10,1.000000,1698,862,0.020283,0.848079,0.922430,0.031250,-677.797729,181.129761,0.000300
54,-8.961979,0.128092,0.013999,0.991489,1709,0.007954,10,1.000000,1671,889,0.026218,0.802192,0.910468,0.082031,-693.967896,150.064636,0.000300
55,-10.161972,0.115511,0.010567,0.988813,1733,0.003337,10,1.000000,1721,839,0.004280,0.996702,0.999417,0.050781,-640.238281,216.245911,0.000300
56,-10.293414,0.118536,0.012446,0.987441,1752,0.007854,10,1.000000,1700,860,-0.003515,0.269802,0.519425,0.000000,-612.328430,208.838303,0.000300
57,-9.036566,0.123558,0.009954,0.986588,1733,0.005718,10,1.000000,1712,848,0.016549,0.217869,0.472817,0.015625,-625.499512,166.759705,0.000300
58,-9.909479,0.122565,0.013436,0.991685,1660,0.007166,10,1.000000,1674,879,0.029535,0.304249,0.554134,0.011751,-652.606995,148.583115,0.000300
59,-9.372563,0.149991,0.017594,0.983864,1760,0.006809,10,1.000000,1756,804,0.012449,0.706781,0.849535,0.042969,-650.617371,187.974365,0.000300
60,-10.410536,0.102827,0.011025,0.993512,1787,0.005415,10,1.000000,1765,795,0.036246,0.628993,0.825414,0.035156,-710.198547,171.999146,0.000300
61,-8.669588,0.125347,0.014823,0.992936,1589,0.004016,10,1.000000,1615,945,0.042490,2.402781,1.675016,0.242188,-729.383423,133.660370,0.000300
62,-9.727940,0.116638,0.011340,0.989938,1682,0.007599,10,1.000000,1683,877,0.003566,0.763918,0.876158,0.074219,-589.031921,209.437424,0.000300
63,-9.809313,0.112067,0.012364,0.987693,1702,0.005382,10,1.000000,1678,882,0.029132,0.411474,0.650887,0.023438,-661.097717,190.725952,0.000300
64,-8.906737,0.120125,0.012010,0.993955,1739,0.004431,10,1.000000,1681,879,0.013096,0.451818,0.673523,0.015625,-622.812317,191.332062,0.000300
65,-8.869351,0.124840,0.013145,0.989358,1724,0.006299,10,1.000000,1685,875,0.041090,0.153576,0.393813,0.011719,-675.951904,161.965271,0.000300
66,-8.623064,0.130146,0.011250,0.991278,1768,0.003910,10,1.000000,1737,823,0.044289,0.148844,0.385803,0.000000,-648.011780,185.296021,0.000300
67,-8.931627,0.120939,0.013234,0.982149,1671,0.006450,10,1.000000,1649,911,0.016112,0.276920,0.527368,0.011719,-687.651550,175.696136,0.000300
68,-9.254252,0.129744,0.012234,0.989599,1788,0.005871,10,1.000000,1765,795,0.000238,0.220935,0.470037,0.000000,-654.237915,205.968826,0.000300
69,-9.451670,0.106166,0.007334,0.984017,1715,0.006730,10,1.000000,1729,826,0.022971,0.279144,0.529533,0.019569,-690.724121,175.170563,0.000300
70,-9.761919,0.104119,0.018087,0.987334,1676,0.007091,10,1.000000,1670,890,0.047838,0.352005,0.618974,0.027344,-701.171753,164.995590,0.000300
71,-9.122157,0.101595,0.014207,0.986992,1655,0.005709,10,1.000000,1631,929,0.038692,0.368761,0.624719,0.027344,-703.529907,164.916840,0.000300
72,-9.414000,0.121864,0.013798,0.986545,1725,0.004865,10,1.000000,1731,816,0.027551,0.093595,0.305933,0.000000,-682.774109,191.942719,0.000300
73,-10.130697,0.111269,0.015619,0.989006,1709,0.004971,10,1.000000,1686,874,0.020645,0.440134,0.669175,0.015625,-731.113281,174.386108,0.000300
